archivo,clase,url_origen,pagina_origen,licencia,autor,atribucion
cc_mano_en_menton_001.jpg,mano_en_menton,https://live.staticflickr.com/3583/3694182698_b47bfff194_b.jpg,https://www.flickr.com/photos/13951072@N00/3694182698,by,bradleygee,"""hand on chin hand on glass"" by bradleygee is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_mano_en_menton_002.jpg,mano_en_menton,https://upload.wikimedia.org/wikipedia/commons/1/19/Jerry_Lewis_hand_on_chin_%2846604499434%29.jpg,https://commons.wikimedia.org/w/index.php?curid=78474713,by-sa,"John Mathew Smith & www.celebrity-photos.com from Laurel Maryland, USA","""Jerry Lewis hand on chin (46604499434)"" by John Mathew Smith & www.celebrity-photos.com from Laurel Maryland, USA is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_003.jpg,mano_en_menton,https://live.staticflickr.com/3583/3694182698_b47bfff194_b.jpg,https://www.flickr.com/photos/13951072@N00/3694182698,by,bradleygee,"""hand on chin hand on glass"" by bradleygee is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_mano_en_menton_004.jpg,mano_en_menton,https://live.staticflickr.com/7819/46604499434_95d0957795_b.jpg,https://www.flickr.com/photos/36277035@N06/46604499434,by-sa,John Mathew Smith & www.celebrity-photos.com,"""Jerry Lewis hand on chin"" by John Mathew Smith & www.celebrity-photos.com is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_005.jpg,mano_en_menton,https://live.staticflickr.com/7858/47327457581_5ae1ec8516.jpg,https://www.flickr.com/photos/36277035@N06/47327457581,by-sa,John Mathew Smith & www.celebrity-photos.com,"""Bill Cosby hand on chin..contemplating"" by John Mathew Smith & www.celebrity-photos.com is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_006.jpg,mano_en_menton,https://upload.wikimedia.org/wikipedia/commons/5/50/Bill_Cosby_hand_on_chin..contemplating_%2847327457581%29.jpg,https://commons.wikimedia.org/w/index.php?curid=78474737,by-sa,"John Mathew Smith & www.celebrity-photos.com from Laurel Maryland, USA","""Bill Cosby hand on chin..contemplating (47327457581)"" by John Mathew Smith & www.celebrity-photos.com from Laurel Maryland, USA is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_007.jpg,mano_en_menton,https://live.staticflickr.com/65535/49899149698_8dd3b7b23e_b.jpg,https://www.flickr.com/photos/36521954815@N01/49899149698,by,BryanAlexander,"""hand on chin"" by BryanAlexander is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_mano_en_menton_008.jpg,mano_en_menton,https://live.staticflickr.com/65535/51630045768_ac4f39459d_b.jpg,https://www.flickr.com/photos/58367355@N00/51630045768,by,jules:stonesoup,"""Hand on chin"" by jules:stonesoup is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_mano_en_menton_009.jpg,mano_en_menton,https://images.rawpixel.com/editor_1024/cHJpdmF0ZS9zdGF0aWMvZmlsZXMvd2Vic2l0ZS8yMDIyLTA5L21ldDcxMDkwMi1pbWFnZS5qcGc.jpg,https://www.rawpixel.com/image/7886044/image-stars-hands-person,cc0,themet,"""Actress holding hands beneath chin"" by themet is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/."
cc_mano_en_menton_010.jpg,mano_en_menton,https://images.metmuseum.org/CRDImages/dp/original/DP865452.jpg,https://www.metmuseum.org/art/collection/search/710902,cc0,"W. Duke, Sons & Co.","""Actress holding hands beneath chin, from Stars of the Stage, Fourth Series (N132) issued by Duke Sons & Co. to promote Honest Long Cut Tobacco"" by W. Duke, Sons & Co. is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/."
